,Acceleration,Age,Aggression,Agility,Attacking_Position,Balance,Ball_Control,Birth_Date,Club,Club_Joining,Club_Kit,Club_Position,Composure,Contract_Expiry,Crossing,Curve,Dribbling,Finishing,Freekick_Accuracy,GK_Diving,GK_Handling,GK_Kicking,GK_Positioning,GK_Reflexes,Heading,Height,Interceptions,Jumping,Long_Pass,Long_Shots,Marking,Name,National_Kit,National_Position,Nationality,Penalties,Preffered_Foot,Preffered_Position,Rating,Reactions,Short_Pass,Shot_Power,Skill_Moves,Sliding_Tackle,Speed,Stamina,Standing_Tackle,Strength,Vision,Volleys,Weak_foot,Weight,Work_Rate
9555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AustraliaAustralia,,,,,,,,,,,,,,,,,,
9556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UkraineUkraine,,,,,,,,,,,,,,,,,,
9557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ArgentinaArgentina,,,,,,,,,,,,,,,,,,
9558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NetherlandsNetherlands,,,,,,,,,,,,,,,,,,
9559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PolandPoland,,,,,,,,,,,,,,,,,,
9560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SpainSpain,,,,,,,,,,,,,,,,,,
9561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SpainSpain,,,,,,,,,,,,,,,,,,
9562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Republic of IrelandRepublic of Ireland,,,,,,,,,,,,,,,,,,
9563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MexicoMexico,,,,,,,,,,,,,,,,,,
9564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RussiaRussia,,,,,,,,,,,,,,,,,,
9565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SpainSpain,,,,,,,,,,,,,,,,,,
9566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EnglandEngland,,,,,,,,,,,,,,,,,,
9567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ItalyItaly,,,,,,,,,,,,,,,,,,
9568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ScotlandScotland,,,,,,,,,,,,,,,,,,
9569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ArgentinaArgentina,,,,,,,,,,,,,,,,,,
9570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SwedenSweden,,,,,,,,,,,,,,,,,,
9571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DenmarkDenmark,,,,,,,,,,,,,,,,,,
9572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NorwayNorway,,,,,,,,,,,,,,,,,,
9573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MexicoMexico,,,,,,,,,,,,,,,,,,
9574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ItalyItaly,,,,,,,,,,,,,,,,,,
9575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ScotlandScotland,,,,,,,,,,,,,,,,,,
9576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EnglandEngland,,,,,,,,,,,,,,,,,,
9577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GermanyGermany,,,,,,,,,,,,,,,,,,
9578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Antigua & BarbudaAntigua & Barbuda,,,,,,,,,,,,,,,,,,
9579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Czech RepublicCzech Republic,,,,,,,,,,,,,,,,,,
9580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EnglandEngland,,,,,,,,,,,,,,,,,,
9581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ScotlandScotland,,,,,,,,,,,,,,,,,,
9582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DenmarkDenmark,,,,,,,,,,,,,,,,,,
9583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EnglandEngland,,,,,,,,,,,,,,,,,,
9584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ScotlandScotland,,,,,,,,,,,,,,,,,,
9585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EnglandEngland,,,,,,,,,,,,,,,,,,
9586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AustriaAustria,,,,,,,,,,,,,,,,,,
9587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EnglandEngland,,,,,,,,,,,,,,,,,,
9588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BelgiumBelgium,,,,,,,,,,,,,,,,,,
9589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PolandPoland,,,,,,,,,,,,,,,,,,
9590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SpainSpain,,,,,,,,,,,,,,,,,,
9591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SpainSpain,,,,,,,,,,,,,,,,,,
9592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SpainSpain,,,,,,,,,,,,,,,,,,
9593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SpainSpain,,,,,,,,,,,,,,,,,,
9594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SpainSpain,,,,,,,,,,,,,,,,,,
9595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ArgentinaArgentina,,,,,,,,,,,,,,,,,,
9596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ArgentinaArgentina,,,,,,,,,,,,,,,,,,
9597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ArgentinaArgentina,,,,,,,,,,,,,,,,,,
9598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ArgentinaArgentina,,,,,,,,,,,,,,,,,,
9599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChileChile,,,,,,,,,,,,,,,,,,
9600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ScotlandScotland,,,,,,,,,,,,,,,,,,
9601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northern IrelandNorthern Ireland,,,,,,,,,,,,,,,,,,
9602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NetherlandsNetherlands,,,,,,,,,,,,,,,,,,
9603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EnglandEngland,,,,,,,,,,,,,,,,,,
9604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Korea RepublicKorea Republic,,,,,,,,,,,,,,,,,,
9605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SwitzerlandSwitzerland,,,,,,,,,,,,,,,,,,
9606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FranceFrance,,,,,,,,,,,,,,,,,,
9607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EnglandEngland,,,,,,,,,,,,,,,,,,
9608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Puerto RicoPuerto Rico,,,,,,,,,,,,,,,,,,
9609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NetherlandsNetherlands,,,,,,,,,,,,,,,,,,
9610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ItalyItaly,,,,,,,,,,,,,,,,,,
9611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FranceFrance,,,,,,,,,,,,,,,,,,
9612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United StatesUnited States,,,,,,,,,,,,,,,,,,
9613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Korea RepublicKorea Republic,,,,,,,,,,,,,,,,,,
9614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FranceFrance,,,,,,,,,,,,,,,,,,
9615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EnglandEngland,,,,,,,,,,,,,,,,,,
9616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SwedenSweden,,,,,,,,,,,,,,,,,,
9617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FranceFrance,,,,,,,,,,,,,,,,,,
9618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TunisiaTunisia,,,,,,,,,,,,,,,,,,
9619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EnglandEngland,,,,,,,,,,,,,,,,,,
9620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SpainSpain,,,,,,,,,,,,,,,,,,
9621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BelgiumBelgium,,,,,,,,,,,,,,,,,,
9622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ScotlandScotland,,,,,,,,,,,,,,,,,,
9623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EnglandEngland,,,,,,,,,,,,,,,,,,
9624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JamaicaJamaica,,,,,,,,,,,,,,,,,,
9625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EnglandEngland,,,,,,,,,,,,,,,,,,
9626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JamaicaJamaica,,,,,,,,,,,,,,,,,,
9627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NorwayNorway,,,,,,,,,,,,,,,,,,
9628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PortugalPortugal,,,,,,,,,,,,,,,,,,
9629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SwedenSweden,,,,,,,,,,,,,,,,,,
9630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DenmarkDenmark,,,,,,,,,,,,,,,,,,
9631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CameroonCameroon,,,,,,,,,,,,,,,,,,
9632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ScotlandScotland,,,,,,,,,,,,,,,,,,
9633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ScotlandScotland,,,,,,,,,,,,,,,,,,
9634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NetherlandsNetherlands,,,,,,,,,,,,,,,,,,
9635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DenmarkDenmark,,,,,,,,,,,,,,,,,,
9636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FranceFrance,,,,,,,,,,,,,,,,,,
9637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ItalyItaly,,,,,,,,,,,,,,,,,,
9638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FranceFrance,,,,,,,,,,,,,,,,,,
9639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EnglandEngland,,,,,,,,,,,,,,,,,,
9640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SlovakiaSlovakia,,,,,,,,,,,,,,,,,,
9641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ItalyItaly,,,,,,,,,,,,,,,,,,
9642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PortugalPortugal,,,,,,,,,,,,,,,,,,
9643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UkraineUkraine,,,,,,,,,,,,,,,,,,
9644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BrazilBrazil,,,,,,,,,,,,,,,,,,
9645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SerbiaSerbia,,,,,,,,,,,,,,,,,,
9646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UkraineUkraine,,,,,,,,,,,,,,,,,,
9647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UkraineUkraine,,,,,,,,,,,,,,,,,,
9648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guinea BissauGuinea Bissau,,,,,,,,,,,,,,,,,,
9649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GermanyGermany,,,,,,,,,,,,,,,,,,
9650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ArgentinaArgentina,,,,,,,,,,,,,,,,,,
9651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BrazilBrazil,,,,,,,,,,,,,,,,,,
9652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChileChile,,,,,,,,,,,,,,,,,,
9653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Korea RepublicKorea Republic,,,,,,,,,,,,,,,,,,
9654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Costa RicaCosta Rica,,,,,,,,,,,,,,,,,,
9655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChileChile,,,,,,,,,,,,,,,,,,
9656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PortugalPortugal,,,,,,,,,,,,,,,,,,
9657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SpainSpain,,,,,,,,,,,,,,,,,,
9658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MoroccoMorocco,,,,,,,,,,,,,,,,,,
9659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FranceFrance,,,,,,,,,,,,,,,,,,
9660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ArgentinaArgentina,,,,,,,,,,,,,,,,,,
9661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SpainSpain,,,,,,,,,,,,,,,,,,
9662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SpainSpain,,,,,,,,,,,,,,,,,,
9663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NigeriaNigeria,,,,,,,,,,,,,,,,,,
9664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PeruPeru,,,,,,,,,,,,,,,,,,
9665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PeruPeru,,,,,,,,,,,,,,,,,,
9666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BrazilBrazil,,,,,,,,,,,,,,,,,,
9667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BrazilBrazil,,,,,,,,,,,,,,,,,,
9668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NetherlandsNetherlands,,,,,,,,,,,,,,,,,,
9669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SpainSpain,,,,,,,,,,,,,,,,,,
9670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SpainSpain,,,,,,,,,,,,,,,,,,
9671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UruguayUruguay,,,,,,,,,,,,,,,,,,
9672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ItalyItaly,,,,,,,,,,,,,,,,,,
9673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ParaguayParaguay,,,,,,,,,,,,,,,,,,
9674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SloveniaSlovenia,,,,,,,,,,,,,,,,,,
9675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ItalyItaly,,,,,,,,,,,,,,,,,,
9676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GuineaGuinea,,,,,,,,,,,,,,,,,,
9677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SpainSpain,,,,,,,,,,,,,,,,,,
9678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TurkeyTurkey,,,,,,,,,,,,,,,,,,
9679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Costa RicaCosta Rica,,,,,,,,,,,,,,,,,,
9680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UkraineUkraine,,,,,,,,,,,,,,,,,,
9681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NetherlandsNetherlands,,,,,,,,,,,,,,,,,,
9682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NetherlandsNetherlands,,,,,,,,,,,,,,,,,,
9683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TunisiaTunisia,,,,,,,,,,,,,,,,,,
9684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SloveniaSlovenia,,,,,,,,,,,,,,,,,,
9685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MexicoMexico,,,,,,,,,,,,,,,,,,
9686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SpainSpain,,,,,,,,,,,,,,,,,,
9687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TurkeyTurkey,,,,,,,,,,,,,,,,,,
9688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GhanaGhana,,,,,,,,,,,,,,,,,,
9689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BrazilBrazil,,,,,,,,,,,,,,,,,,
9690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BrazilBrazil,,,,,,,,,,,,,,,,,,
9691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ItalyItaly,,,,,,,,,,,,,,,,,,
9692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guinea BissauGuinea Bissau,,,,,,,,,,,,,,,,,,
9693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South AfricaSouth Africa,,,,,,,,,,,,,,,,,,
9694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South AfricaSouth Africa,,,,,,,,,,,,,,,,,,
9695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ItalyItaly,,,,,,,,,,,,,,,,,,
9696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PortugalPortugal,,,,,,,,,,,,,,,,,,
9697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CroatiaCroatia,,,,,,,,,,,,,,,,,,
9698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SlovakiaSlovakia,,,,,,,,,,,,,,,,,,
9699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FranceFrance,,,,,,,,,,,,,,,,,,
9700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PortugalPortugal,,,,,,,,,,,,,,,,,,
9701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FranceFrance,,,,,,,,,,,,,,,,,,
9702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ParaguayParaguay,,,,,,,,,,,,,,,,,,
9703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ItalyItaly,,,,,,,,,,,,,,,,,,
9704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TurkeyTurkey,,,,,,,,,,,,,,,,,,
9705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FranceFrance,,,,,,,,,,,,,,,,,,
9706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TurkeyTurkey,,,,,,,,,,,,,,,,,,
9707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DenmarkDenmark,,,,,,,,,,,,,,,,,,
9708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SerbiaSerbia,,,,,,,,,,,,,,,,,,
9709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SpainSpain,,,,,,,,,,,,,,,,,,
9710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZimbabweZimbabwe,,,,,,,,,,,,,,,,,,
9711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SlovakiaSlovakia,,,,,,,,,,,,,,,,,,
9712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RussiaRussia,,,,,,,,,,,,,,,,,,
9713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GermanyGermany,,,,,,,,,,,,,,,,,,
9714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FranceFrance,,,,,,,,,,,,,,,,,,
9715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FranceFrance,,,,,,,,,,,,,,,,,,
9716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChileChile,,,,,,,,,,,,,,,,,,
9717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ArgentinaArgentina,,,,,,,,,,,,,,,,,,
9718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NigeriaNigeria,,,,,,,,,,,,,,,,,,
9719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TurkeyTurkey,,,,,,,,,,,,,,,,,,
9720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GermanyGermany,,,,,,,,,,,,,,,,,,
9721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JapanJapan,,,,,,,,,,,,,,,,,,
9722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GermanyGermany,,,,,,,,,,,,,,,,,,
9723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NetherlandsNetherlands,,,,,,,,,,,,,,,,,,
9724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NetherlandsNetherlands,,,,,,,,,,,,,,,,,,
9725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChileChile,,,,,,,,,,,,,,,,,,
9726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HungaryHungary,,,,,,,,,,,,,,,,,,
9727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SenegalSenegal,,,,,,,,,,,,,,,,,,
9728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VenezuelaVenezuela,,,,,,,,,,,,,,,,,,
9729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VenezuelaVenezuela,,,,,,,,,,,,,,,,,,
9730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BrazilBrazil,,,,,,,,,,,,,,,,,,
9731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BrazilBrazil,,,,,,,,,,,,,,,,,,
9732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BrazilBrazil,,,,,,,,,,,,,,,,,,
9733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BrazilBrazil,,,,,,,,,,,,,,,,,,
9734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PortugalPortugal,,,,,,,,,,,,,,,,,,
9735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JapanJapan,,,,,,,,,,,,,,,,,,
9736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ParaguayParaguay,,,,,,,,,,,,,,,,,,
9737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IranIran,,,,,,,,,,,,,,,,,,
9738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JapanJapan,,,,,,,,,,,,,,,,,,
9739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JapanJapan,,,,,,,,,,,,,,,,,,
9740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JapanJapan,,,,,,,,,,,,,,,,,,
9741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JapanJapan,,,,,,,,,,,,,,,,,,
9742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ArgentinaArgentina,,,,,,,,,,,,,,,,,,
9743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GeorgiaGeorgia,,,,,,,,,,,,,,,,,,
9744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bosnia HerzegovinaBosnia Herzegovina,,,,,,,,,,,,,,,,,,
9745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JapanJapan,,,,,,,,,,,,,,,,,,
9746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JapanJapan,,,,,,,,,,,,,,,,,,
9747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JapanJapan,,,,,,,,,,,,,,,,,,
9748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JapanJapan,,,,,,,,,,,,,,,,,,
9749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JapanJapan,,,,,,,,,,,,,,,,,,
9750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JapanJapan,,,,,,,,,,,,,,,,,,
9751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JapanJapan,,,,,,,,,,,,,,,,,,
9752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JapanJapan,,,,,,,,,,,,,,,,,,
9753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Korea RepublicKorea Republic,,,,,,,,,,,,,,,,,,
9754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JapanJapan,,,,,,,,,,,,,,,,,,
9755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JapanJapan,,,,,,,,,,,,,,,,,,
9756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JapanJapan,,,,,,,,,,,,,,,,,,
9757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ArgentinaArgentina,,,,,,,,,,,,,,,,,,
9758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ArgentinaArgentina,,,,,,,,,,,,,,,,,,
9759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Korea RepublicKorea Republic,,,,,,,,,,,,,,,,,,
9760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JapanJapan,,,,,,,,,,,,,,,,,,
9761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JapanJapan,,,,,,,,,,,,,,,,,,
9762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JapanJapan,,,,,,,,,,,,,,,,,,
9763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JapanJapan,,,,,,,,,,,,,,,,,,
9764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UruguayUruguay,,,,,,,,,,,,,,,,,,
9765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JapanJapan,,,,,,,,,,,,,,,,,,
9766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JapanJapan,,,,,,,,,,,,,,,,,,
9767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JapanJapan,,,,,,,,,,,,,,,,,,
